"","movie_title","release_date","genre","mpaa_rating","total_gross","inflation_adjusted_gross","release_year"
"267","Fantasia 2000 (Theatrical Release)",2000-06-16,"Musical","G",9103630,14238144,2000
"268","The Kid",2000-07-07,"Comedy","PG",69688384,108993148,2000
"269","Coyote Ugly",2000-08-04,"Drama","PG-13",60786269,95070168,2000
"270","The Crew",2000-08-25,"Comedy","PG-13",13019253,20362201,2000
"271","Duets",2000-09-15,"Drama","R",4734235,7404372,2000
"272","Remember the Titans",2000-09-29,"Drama","PG",115654751,180742479,2000
"273","Unbreakable",2000-11-22,"Thriller/Suspense","PG-13",94999143,148208901,2000
"274","102 Dalmatians",2000-11-22,"Comedy","G",66941559,104055039,2000
"275","The Emperor's New Groove",2000-12-15,"Adventure","G",89296573,136789252,2000
"276","O Brother, Where Art Thou?",2000-12-22,"Comedy","PG-13",45506619,67922002,2000
"277","Double Take",2001-01-12,"Action","PG-13",29823162,44418589,2001
"278","Recess: School's Out",2001-02-16,"Comedy","G",36696761,54656124,2001
"279","Just Visiting",2001-04-06,"Comedy","PG-13",4777007,7114869,2001
"280","Pearl Harbor",2001-05-25,"Action","PG-13",198539855,295705112,2001
"281","Atlantis: The Lost Empire",2001-06-08,"Adventure","PG",84052762,125188122,2001
"282","crazy/beautiful",2001-06-29,"Drama","PG-13",16929123,25214223,2001
"283","The Princess Diaries",2001-08-03,"Comedy","G",108244774,161218928,2001
"284","Bubble Boy",2001-08-24,"Comedy","PG-13",5002310,7450434,2001
"285","Max Keeble's Big Move",2001-10-05,"Comedy","PG",17292381,25749730,2001
"286","Corky Romano",2001-10-12,"Comedy","PG-13",23978402,35705805,2001
"287","Monsters, Inc.",2001-11-02,"Adventure","G",289423425,416073179,2001
"288","Out Cold",2001-11-21,"Comedy","PG-13",13906394,20700691,2001
"289","The Royal Tenenbaums",2001-12-14,"Black Comedy","R",52353636,76758193,2001
"290","Beauty and the Beast (IMAX)",2002-01-01,"Musical","G",25487028,36980311,2002
"291","Snow Dogs",2002-01-18,"Comedy","PG",81150692,117745317,2002
"292","The Count of Monte Cristo",2002-01-25,"Drama","PG-13",54228104,78682079,2002
"293","Peter Pan: Return to Neverland",2002-02-15,"Adventure","G",48430258,70269715,2002
"294","Reign of Fire",2002-02-19,"Action","PG-13",43061982,62480631,2002
"295","Sorority Boys",2002-03-22,"Comedy","R",10198766,14797862,2002
"296","The Rookie",2002-03-29,"Drama","G",75600072,109691666,2002
"297","Big Trouble",2002-04-05,"Comedy","PG-13",7262288,10537188,2002
"298","ESPN's Ultimate X - The Movie",2002-05-10,"Documentary","PG",4197175,6089874,2002
"299","Bad Company",2002-06-07,"Action","PG-13",30157016,43756218,2002
"300","Lilo & Stitch",2002-06-21,"Adventure","PG",145771527,211506702,2002
"301","The Country Bears",2002-07-26,"Adventure","G",16988996,24650121,2002
"302","Signs",2002-08-02,"Thriller/Suspense","PG-13",227965690,330754439,2002
"303","Sen to Chihiro no Kamikakushi",2002-09-20,"Adventure","PG",10049886,14338992,2002
"304","Sweet Home Alabama",2002-09-27,"Comedy","PG-13",127214072,184521151,2002
"305","Moonlight Mile",2002-09-27,"Drama","PG-13",6830957,9909094,2002
"306","Tuck Everlasting",2002-10-11,"Drama","PG",19161999,27789959,2002
"307","The Santa Clause 2",2002-11-01,"Comedy","G",139225854,201959095,2002
"308","Treasure Planet",2002-11-27,"Adventure","PG",38120554,55189145,2002
"309","The Hot Chick",2002-12-13,"Comedy","PG-13",35081550,50624654,2002
"310","25th Hour",2002-12-19,"Drama","R",13084595,18325463,2002
"311","The Recruit",2003-01-31,"Thriller/Suspense","PG-13",52784696,73793522,2003
"312","Shanghai Knights",2003-02-07,"Adventure","PG-13",60470220,84537962,2003
"313","The Jungle Book 2",2003-02-14,"Adventure","G",47901582,66966883,2003
"314","Bringing Down the House",2003-03-07,"Comedy","PG-13",132675402,185481530,2003
"315","Piglet's Big Movie",2003-03-21,"Comedy","G",23103423,32298812,2003
"316","Ghosts of the Abyss",2003-04-11,"Documentary","G",17093668,23803108,2003
"317","Holes",2003-04-18,"Drama","PG",67383924,94203395,2003
"318","The Lizzie McGuire Movie",2003-05-02,"Comedy","PG",42734455,59743191,2003
"319","Finding Nemo",2003-05-30,"Adventure","G",380529370,518148559,2003
"320","Pirates of the Caribbean: The Curse o…",2003-07-09,"Adventure","PG-13",305411224,426967926,2003
"321","Freaky Friday",2003-08-06,"Comedy","PG",110222438,154090360,2003
"322","Open Range",2003-08-15,"Western","R",58331254,81547672,2003
"323","Cold Creek Manor",2003-09-19,"Thriller/Suspense","R",21384035,29895090,2003
"324","Under the Tuscan Sun",2003-09-26,"Comedy","PG-13",43601508,60944053,2003
"325","Veronica Guerin",2003-10-17,"Drama","R",1569918,2194759,2003
"326","Brother Bear",2003-10-24,"Adventure","G",85336277,119218333,2003
"327","The Haunted Mansion",2003-11-26,"Comedy","PG",75817994,105775678,2003
"328","Calendar Girls",2003-12-19,"Comedy","PG-13",31011616,42379650,2003
"329","Young Black Stallion",2003-12-25,"Adventure","G",6751389,9254344,2003
"330","Teacher's Pet: The Movie",2004-01-16,"Comedy","PG",6491969,8812764,2004
"331","Miracle",2004-02-06,"Drama","PG",64378093,87392478,2004
"332","Confessions of a Teenage Drama Queen",2004-02-20,"Comedy","PG",29331068,39816568,2004
"333","Hidalgo",2004-03-05,"Western","PG-13",67286731,91340921,2004
"334","The Ladykillers",2004-03-26,"Comedy","R",39692139,53881593,2004
"335","Home on the Range",2004-04-02,"Comedy","PG",50026353,67910166,2004
"336","The Alamo",2004-04-09,"Western","PG-13",22406362,30416359,2004
"337","Raising Helen",2004-05-28,"Comedy","PG-13",37485528,50886144,2004
"338","Around the World in 80 Days",2004-06-16,"Adventure","PG",24004159,32585356,2004
"339","America's Heart and Soul",2004-07-02,"Documentary","Not Rated",314000,426246,2004
"340","King Arthur",2004-07-07,"Adventure","PG-13",51877963,70423706,2004
"341","The Village",2004-07-30,"Thriller/Suspense","PG-13",114197520,155021748,2004
"342","The Princess Diaries 2: Royal Engagement",2004-08-11,"Romantic Comedy","G",95149435,129164207,2004
"343","Mr. 3000",2004-09-17,"Comedy","PG-13",21800302,29593641,2004
"344","The Last Shot",2004-09-24,"Comedy","R",463730,629502,2004
"345","Ladder 49",2004-10-01,"Action","PG-13",74541707,101161045,2004
"346","The Incredibles",2004-11-05,"Adventure","PG",261441092,354488708,2004
"347","National Treasure",2004-11-19,"Adventure","PG",173005002,234069353,2004
"348","The Life Aquatic with Steve Zissou",2004-12-10,"Comedy","R",24006726,32198655,2004
"349","Aliens of the Deep",2005-01-28,"Documentary","G",8968684,11740942,2005
"350","Pooh's Heffalump Movie",2005-02-11,"Adventure","G",18098433,23801835,2005
"351","The Pacifier",2005-03-04,"Comedy","PG",113006880,148619029,2005
"352","Ice Princess",2005-03-18,"Comedy","G",24381334,32064685,2005
